MAHALLE_KOY_NO,MAHALLE_KOY_ADI
558,REMZ› O–UZ ARIK
559,ORHANGAZ›
560,BAYRAMHACILI
561,YILDIRIM BEYAZIT
562,K‹«‹K BAKLALI
563,Y‹REKL›
564,SULUCA
565,AYVALI
566,ESENTEPE
567,ﬁAH›NTEPE
568,YEﬁ›LTEPE
569,H‹RR›YET
570,EL›F SU ULUDA–
571,TURUN«LU
572,AKKAPI
573,AL›DEDE
574,A.REMZ› Y‹RE–›R
575,AYDINLAR
576,D÷RTA–A«
577,BARIﬁ
578,BARBAROS
579,BEﬁOCAK
580,BEY
581,CEMALPAﬁA
582,KOZA
583,DA–LIO–LU
584,DEN›ZL›
585,D÷ﬁEME
586,DUMLUPINAR
587,EMEK
588,FAT›H
589,FEVZ›PAﬁA
590,GAZ›PAﬁA
591,G‹LBAH«ES›
592,G‹RSELPAﬁA
593,HANEDAN
594,HAVUZLUBAH«E
595,HURMALI
596,H‹RR›YET
597,›SMETPAﬁA
598,›ST›KLAL
599,KARASOKU
600,KAYALIBA–
601,KOCAVEZ›R
602,KURTULUﬁ
603,KURUK÷PR‹
604,MESTANZADE
605,MEYDAN
606,MIDIK
607,M›RZA«ELEB›
608,M›THATPAﬁA
609,NAMIKKEMAL
610,NARLICA
611,ONUR
612,OVA
613,PINAR
614,REﬁATBEY
615,SAKARYA
616,SARIYAKUP
617,SUCUZADE
618,S‹MER
619,ﬁAK›RPAﬁA
620,ﬁEH›TDURAN
621,TEPEBA–
622,T‹RKOCA–I
623,U«AK
624,ULUCAM›
625,YEN›BARAJ
626,YEN›BEY
627,YEﬁ›LEVLER
628,YEﬁ›LYUVA
629,YEﬁ›LOBA
630,YEﬁ›LYURT
631,Z›YAPAﬁA
632,›K›B›NEVLER
633,G‹LPINAR
634,DEMETEVLER
635,«INARLI
636,K÷YL‹O–LU
637,M‹RSELO–LU
638,K‹«‹KD›K›L›
639,DERV›ﬁLER
640,KAVAKLI
641,MEKAN
642,BAH«EL›EVLER
643,SER›NEVLER
644,KAYIﬁLI
645,«APUT«U
646,SALMANBEYL›
647,S÷–‹TL‹
648,KARAYUSUFLU
649,BAH«EﬁEH›R
650,TELL›DERE
651,YEN›MAHALLE
652,B‹Y‹KD›K›L›
653,CAMUZCU
654,G÷LBAﬁI
655,KUYUMCULAR
656,K‹«‹K«ILDIRIM
657,SARIHAMZALI
