ILCE_NO,ILCE_ADI
780,BEﬁ›KD‹Z‹
781,«ARﬁIBAﬁI
782,«AYKARA
783,DERNEKPAZARI
784,D‹ZK÷Y
785,HAYRAT
786,K÷PR‹BAﬁI
787,MA«KA
788,OF
789,ORTAH›SAR
790,S‹RMENE
791,ﬁALPAZARI
792,TONYA
793,VAKFIKEB›R
794,YOMRA
795,«EM›ﬁGEZEK
796,HOZAT
797,MAZG›RT
798,NAZIM›YE
799,OVACIK
800,PERTEK
801,P‹L‹M‹R
802,AK«AKALE
803,B›REC›K
804,BOZOVA
805,CEYLANPINAR
806,EYY‹B›YE
807,HALFET›
808,HAL›L›YE
809,HARRAN
810,H›LVAN
811,KARAK÷PR‹
812,S›VEREK
813,SURU«
814,V›RANﬁEH›R
815,BANAZ
816,EﬁME
817,KARAHALLI
818,S›VASLI
819,ULUBEY
820,BAH«ESARAY
821,BAﬁKALE
822,«ALDIRAN
823,«ATAK
824,EDREM›T
825,ERC›ﬁ
826,GEVAﬁ
827,G‹RPINAR
828,›PEKYOLU
829,MURAD›YE
830,÷ZALP
831,SARAY
832,TUﬁBA
833,AKDA–MADEN›
834,AYDINCIK
835,BO–AZLIYAN
836,«ANDIR
837,«AYIRALAN
838,«EKEREK
839,KADIﬁEHR›
840,SARAYKENT
841,SARIKAYA
842,SORGUN
843,ﬁEFAATL›
844,YEN›FAKILI
845,YERK÷Y
846,ALAPLI
847,«AYCUMA
848,DEVREK
849,ERE–L›
850,G÷K«EBEY
851,K›L›ML›
852,KOZLU
853,A–A«÷REN
854,ESK›L
855,G‹LA–A«
856,G‹ZELYURT
857,ORTAK÷Y
858,SARIYAHﬁ›
859,SULTANHANI
860,AYDINTEPE
861,DEM›R÷Z‹
862,AYRANCI
863,BAﬁYAYLA
864,ERMENEK
865,KAZIMKARABEK›R
866,SARIVEL›LER
867,BAHﬁILI
868,BALIﬁEYH
869,«ELEB›
870,DEL›CE
871,KARAKE«›L›
872,KESK›N
873,SULAKYURT
874,YAHﬁ›HAN
875,BEﬁ›R›
876,GERC‹ﬁ
877,HASANKEYF
878,KOZLUK
879,SASON
880,BEYT‹ﬁﬁEBAP
881,C›ZRE
882,G‹«L‹KONAK
883,›D›L
884,S›LOP›
885,ULUDERE
886,AMASRA
887,KURUCAﬁ›LE
888,ULUS
889,«ILDIR
890,DAMAL
891,G÷LE
892,HANAK
893,POSOF
894,ARALIK
895,KARAKOYUNLU
896,TUZLUCA
897,ALTINOVA
898,ARMUTLU
899,«INARCIK
900,«›FTL›KK÷Y
901,TERMAL
902,EFLAN›
903,ESK›PAZAR
904,OVACIK
905,SAFRANBOLU
906,YEN›CE
907,ELBEYL›
908,MUSABEYL›
909,POLATEL›
910,BAH«E
911,D‹Z›«›
912,HASANBEYL›
913,KAD›RL›
914,SUMBAS
915,TOPRAKKALE
916,AK«AKOCA
917,CUMAYER›
918,«›L›ML›
919,G÷LYAKA
920,G‹M‹ﬁOVA
921,KAYNAﬁLI
922,YI–ILCA
923,›LMERKEZ›
924,BESN›-«AKIRH‹Y‹K
925,BESN›-KESMETEPE
926,BESN›-K÷SECEL›
927,BESN›-ﬁAMBAYAT
928,«EL›KHAN-PINARBAﬁI
929,G÷LBAﬁI-BALKAR
930,G÷LBAﬁI-BEL÷REN
931,G÷LBAﬁI-HARMANLI
932,KAHTA -> AKINCILAR
933,KAHTA -> B÷L‹KYAYLA
934,MERKEZ -> K÷M‹R
935,MERKEZ -> YAYLAKONAK
936,S›NC›K -> ›NL›CE
937,BESN›-SUVARLI
938,AFYONKARAH›SAR
939,BOLVAD›N-D›ﬁL›
940,BOLVAD›N-÷ZBURUN
941,«AY-KARAM›KKARACA÷REN
942,«AY-PAZARA–A«
943,«OBANLAR-KOCA÷Z
944,D›NAR-HAYDARLI
945,D›NAR-TATARLI
946,EM›RDA–-DAVULGA
947,›HSAN›YE-D÷–ER
948,›HSAN›YE-GAZLIG÷L
949,›HSAN›YE- KAYIHAN
950,›HSAN›YE-YAYLABA–I
951,›SCEH›SAR-SEYD›LER
952,MERKEZ-BEYYAZI
953,MERKEZ-«AYIRBA–
954,MERKEZ-«IKRIK
955,MERKEZ-DE–›RMENAYVALI
956,MERKEZ-ERKMEN
957,MERKEZ-FETH›BEY
958,MERKEZ-GEBECELER
959,MERKEZ-IﬁIKLAR
960,MERKEZ-KOCATEPE
961,MERKEZ-NUR›BEY
962,MERKEZ-SALAR
963,MERKEZ-SUSUZ
964,MERKEZ-S‹L‹MENL›
965,MERKEZ-S‹L‹N
966,SANDIKLI-AKHARIM
967,S›NANPAﬁA-AHMETPAﬁA
968,S›NANPAﬁA-AK÷REN
969,S›NANPAﬁA-D‹ZA–A«
970,S›NANPAﬁA-G‹NEY
971,S›NANPAﬁA-KILI«ARSLAN
972,S›NANPAﬁA-KIRKA
973,S›NANPAﬁA-K‹«‹KH‹Y‹K
974,S›NANPAﬁA-SERBAN
975,S›NANPAﬁA-TAﬁOLUK
976,S›NANPAﬁA-TINAZTEPE
977,SULTANDA–I-DERE«›NE
978,SULTANDA–I-YEﬁ›L«›FTL›K
979,ﬁUHUT-KARAAD›LL›
980,EM›RDA–-G÷M‹
981,A–RI-›L MERKEZ›
982,ELEﬁK›RT-TAH›R
983,ELEﬁK›RT-YAYLAD‹Z‹
984,ELEﬁK›RT-Y‹CEKAPI
985,PATNOS-DEDEL›
986,AKSARAY-›L MERKEZ›
987,AKSARAY-›L MERKEZ›
988,ESK›L-EﬁMEKAYA
989,G‹LA–A«-DEM›RC›
990,G‹LA–A«-G‹LPINAR
991,G‹LA–A«-SARATLI
992,G‹ZELYURT-IHLARA
993,G‹ZELYURT-SEL›ME
994,MERKEZ-BA–LIKAYA
995,MERKEZ-HELVADERE
996,MERKEZ-SA–LIK
997,MERKEZ-TAﬁPINAR
998,MERKEZ-TOPAKKAYA
999,MERKEZ-YEN›KENT
1000,MERKEZ-YEﬁ›LOVA
1001,MERKEZ-YEﬁ›LTEPE
1002,AMASYA-›L MERKEZ›
1003,MERKEZ-Z›YARET
1004,ARDAHAN-›L MERKEZ›
1005,G÷LE-K÷PR‹L‹
1006,ARTV›N-›L MERKEZ›
1007,BARTIN-›L MERKEZ›
1008,MERKEZ-HASANKADI
1009,MERKEZ-KOZCA–IZ
1010,ULUS-APD›PAﬁA
1011,ULUS-KUMLUCA
1012,BATMAN-›L MERKEZ›
1013,BEﬁ›R›-›K›K÷PR‹
1014,GERC‹ﬁ-KAYAPINAR
1015,KOZLUK-BEK›RHAN
1016,MERKEZ-BALPINAR
1017,SASON-Y‹CEBA–
1018,BAYBURT-›LMERKEZ›
1019,DEM›R÷Z‹-G÷K«EDERE
1020,MERKEZ-ARPALI
1021,B›LEC›K-›LMERKEZ›
1022,BOZH‹Y‹K-DODURGA
1023,MERKEZ-BAYIRK÷Y
1024,MERKEZ-VEZ›RHAN
1025,B›NG÷L-›L MERKEZ›
1026,MERKEZ
1027,MERKEZ-ILICALAR
1028,MERKEZ-SANCAK
1029,SOLHAN-ARAKONAK
1030,AD›LCEVAZ-AYDINLAR
1031,AHLAT-OVAKIﬁLA
1032,B›TL›S-›L MERKEZ›
1033,G‹ROYMAK-G÷LBAﬁI
1034,G‹ROYMAK-G‹NKIRI
1035,MERKEZ-YOLALAN
1036,MUTK›-KAVAKBAﬁI
1037,BOLU-›L MERKEZ›
1038,MENGEN-G÷K«ESU
1039,MERKEZ-KARACASU
1040,MUDURNU-TAﬁKEST›
1041,BUCAK-KIZILKAYA
1042,BUCAK-KOCAAL›LER
1043,BURDUR-›L MERKEZ›
1044,«AVDIR-S÷–‹T
1045,G÷LH›SAR-YUSUF«A
1046,AYVACIK-K‹«‹KKUYU
1047,B›GA-G‹M‹ﬁ«AY
1048,B›GA-KARAB›GA
1049,«AN-TERZ›ALAN
1050,GEL›BOLU-EVREﬁE
1051,GEL›BOLU-KAVAKK÷Y
1052,LAPSEK›-«ARDAK
1053,MERKEZ-KEPEZ
1054,YEN›CE-KALKIM
1055,«ANAKKALE-›L MERKEZ›
1056,EZ›NE-GEY›KL›
1057,LAPSEK›-UMURBEY
1058,ATKARACALAR-«ARDAKLI
1059,«ANKIRI-›L MERKEZ›
1060,«ERKEﬁ-SA«AK
1061,ORTA-DODURGA
1062,ORTA-YAYLAKENT
1063,«ORUM-›L MERKEZ›
1064,MERKEZ-D‹VENC›
1065,ORTAK÷Y-AﬁTAVUL
1066,HAKKAR› ›L MERKEZ›
1067,MERKEZ DURANKAYA
1068,Y‹KSEKOVA B‹Y‹K«›FTL›K
1069,Y‹KSEKOVA ESENDERE
1070,I–DIR ›L MERKEZ›
1071,MERKEZ HALFEL›
1072,MERKEZ HOﬁHABER
1073,MERKEZ MELEKL›
1074,E–›RD›R SARI›DR›S
1075,G÷NEN G‹NEYKENT
1076,›SPARTA ›L MERKEZ›
1077,KE«›BORLU SEN›R
1078,MERKEZ KULE÷N‹
1079,MERKEZ SAVK÷Y
1080,SEN›RKENT B‹Y‹KKABACA
1081,ﬁARK›KARA–A« «ARIKSARAYLAR
1082,ﬁARK›KARA–A« «›«EKPINAR
1083,YALVA« H‹Y‹KL‹
1084,KARAB‹K ›L MERKEZ›
1085,YEN›CE YORTAN
1086,ERMENEK G‹NEYYURT
1087,ERMENEK KAZANCI
1088,KARAMAN ›L MERKEZ›
1089,MERKEZ AK«AﬁEH›R
1090,MERKEZ SUDURA–I
1091,SARIVEL›LER G÷KTEPE
1092,D›GOR DA–PINAR
1093,KARS ›L MERKEZ›
1094,KASTAMONU ›L MERKEZ›
1095,DEL›CE «ER›KL›
1096,KIRIKKALE ›L MERKEZ›
1097,MERKEZ  HACILAR
1098,BABAESK›  ALPULLU
1099,BABAESK›  B‹Y‹KMANDIRA
1100,BABAESK›  KARAHAL›L
1101,DEM›RK÷Y  ›–NEADA
1102,KIRKLAREL›  ›L MERKEZ›
1103,L‹LEBURGAZ  AHMETBEY
1104,L‹LEBURGAZ  B‹Y‹KKARIﬁTIRAN
1105,L‹LEBURGAZ  EVRENSEK›Z
1106,MERKEZ  ›NECE
1107,MERKEZ  KAVAKLI
